date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:45	51336/51336	---MCZ	200	added ('OK')	font/ttf	etag:W/%22c888-QTqz3D/DpXUidbriyuZ+tY8rMvA%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:45	16780/16780	---M--	200	added ('OK')	font/woff2	etag:W/%22418c-pKSQW4sSb5/9VT0hpyoMJOlIA0U%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:45	19412/19412	---M--	200	added ('OK')	font/woff	etag:W/%224bd4-A4u9yIh6lzCtlBR/xXxv9N+0hBE%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:45	32968/32968	---MCZ	200	added ('OK')	font/ttf	etag:W/%2280c8-umRk5EL9UK73Z4kkug8tlYHruwc%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-BoldItalic.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:45	16988/16988	---M--	200	added ('OK')	font/woff2	etag:W/%22425c-ybK1/9LyeqXGtvm6QaeytOZhAtM%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:46	19676/19676	---M--	200	added ('OK')	font/woff	etag:W/%224cdc-fIWJITvHAD4sIzS1HKQVKFiYer0%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:46	33580/33580	---MCZ	200	added ('OK')	font/ttf	etag:W/%22832c-HVZoorlK59vu/dfNaNmP6dWCXgc%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Italic.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:46	26272/26272	---M--	200	added ('OK')	font/woff2	etag:W/%2266a0-yIQIbCXOyFWBYLICb5Bu99o1cKw%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:46	30772/30772	---M--	200	added ('OK')	font/woff	etag:W/%227834-/crlS6HUY17oWlRizByX5SHP1RU%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:46	53580/53580	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d14c-h0TbbvjDCePchfG76YBSCti3v9Q%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Regular.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
